key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate
,0,0,0,11,1,P, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,1,1,24,1,L, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,2,2,211,1,X, , , , ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,3,3,191,1,X,1, ,3,4,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,4,4,51,1,X,7,5,8, ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,5,5,260,1,R, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,6,6,219,1,Y, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,7,7,194,1,D, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,8,8,110,1,I, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,9,9,77,1,O, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,10,10,272,1,D, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,11,11,79,1,P, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,12,12,108,1,Y, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,13,13,334,1,O, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,14,14,165,1,J, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,15,15,181,1,E, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,16,16,258,1,E, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,17,17,149,1,R, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,18,18,133,1,X, ,4, ,6,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,19,19,175,1,X,7, ,4,2,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,20,20,203,1,X, , , , ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,21,21,210,1,M, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,22,22,107,1,X,9,3, ,2,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,23,23,69,1,X, , , , ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,24,24,130,1,F, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,25,25,114,1,E, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,26,26,177,1,M, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,27,27,38,1,R, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,28,28,329,1,X,3,4, ,2,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,29,29,28,1,V, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,30,30,64,1,N, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,31,31,327,1,E, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,32,32,276,1,H, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,33,33,286,1,N, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,34,34,231,1,I, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,35,35,257,1,W, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,36,36,103,1,W, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,37,37,50,1,D, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,38,38,113,1,W, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,39,39,105,1,R, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,40,40,215,1,E, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,41,41,58,1,L, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,42,42,200,1,X,7, ,5,3,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,43,43,80,1,A, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,44,44,296,1,Y, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,45,45,205,1,C, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,46,46,326,1,W, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,47,47,88,1,J, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,48,48,166,1,X, , , , ,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,49,49,316,1,Z, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,50,50,78,1,X, , , , ,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,51,51,15,1,X, , , , ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,52,52,284,1,V, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,53,53,59,1,Z, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,54,54,137,1,C, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,55,55,18,1,X, ,2,5,8,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,56,56,305,1,X, , , , ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,57,57,106,1,T, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,58,58,287,1,X, ,2, ,9,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,59,59,182,1,X, , , , ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,60,60,192,1,A, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,61,61,238,1,D, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,62,62,63,1,B, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,63,63,241,1,G, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,64,64,22,1,K, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,65,65,157,1,A, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,66,66,292,1,E, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,67,67,218,1,X,1,3, ,8,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,68,68,92,1,Z, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,69,69,198,1,H, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,70,70,171,1,X, , , , ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,71,71,253,1,N, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,72,72,25,1,Z, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,73,73,262,1,Y, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,74,74,209,1,N, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,75,75,294,1,T, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,76,76,251,1,B, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,77,77,143,1,M, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,78,78,68,1,W, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,79,79,96,1,X, , , , ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,80,80,312,1,K, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,81,81,85,1,F, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,82,82,19,1,G, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,83,83,266,1,O, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,84,84,145,1,X, , , , ,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,85,85,184,1,T, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,86,86,36,1,W, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,87,87,118,1,X, , , , ,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,88,88,120,1,U, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,89,89,187,1,X, ,3,7,4,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,90,90,249,1,C, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,91,91,57,1,K, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,92,92,221,1,I, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,93,93,32,1,M, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,94,94,174,1,B, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,95,95,104,1,E, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,96,96,29,1,B, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,97,97,125,1,X, , , , ,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,98,98,271,1,X, , , , ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,99,99,4,1,X, , , , ,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,100,100,39,1,X,6,2, , ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,101,101,42,1,U, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,102,102,162,1,X,1,6, ,2,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,103,103,185,1,Y, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,104,104,248,1,X, ,1,5, ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,105,105,150,1,T, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,106,106,62,1,V, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,107,107,155,1,O, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,108,108,236,1,X,3, ,4,7,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,109,109,233,1,X, ,2, ,5,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,110,110,195,1,X, , , , ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,111,111,168,1,X, , , , ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,112,112,26,1,C, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,113,113,204,1,Z, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,114,114,72,1,T, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,115,115,196,1,F, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,116,116,131,1,G, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,117,117,178,1,Q, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,118,118,154,1,I, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,119,119,259,1,X,8, , ,3,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,120,120,2,1,E, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,121,121,7,1,X, , , , ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,122,122,201,1,K, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,123,123,138,1,X,8,5, ,3,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,124,124,285,1,B, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,125,125,224,1,W, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,126,126,208,1,B, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,127,127,61,1,C, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,128,128,252,1,X,3, ,6,9,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,129,129,99,1,N, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,130,130,140,1,B, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,131,131,128,1,D, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,132,132,90,1,K, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,133,133,190,1,P, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,134,134,268,1,X,6, ,3, ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,135,135,98,1,X, , , , ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,136,136,306,1,D, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,137,137,43,1,X, ,6, ,2,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,138,138,269,1,A, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,139,139,121,1,I, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,140,140,265,1,I, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,141,141,225,1,E, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,142,142,180,1,W, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,143,143,142,1,N, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,144,144,30,1,N, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,145,145,49,1,S, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,146,146,320,1,B, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,147,147,95,1,V, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,148,148,159,1,S, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,149,149,328,1,R, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,150,150,34,1,Q, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,151,151,136,1,Z, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,152,152,93,1,X,5, ,7, ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,153,153,152,1,U, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,154,154,323,1,M, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,155,155,214,1,W, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,156,156,282,1,X, , , , ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,157,157,293,1,R, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,158,158,220,1,U, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,159,159,277,1,X,8,5, ,2,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,160,160,332,1,U, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,161,161,144,1,Q, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,162,162,31,1,X, , , , ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,163,163,186,1,U, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,164,164,76,1,I, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,165,165,60,1,X,7,3,5, ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,166,166,283,1,C, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,167,167,87,1,H, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,168,168,230,1,U, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,169,169,20,1,H, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,170,170,10,1,O, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,171,171,74,1,X, ,4,3,2,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,172,172,97,1,B, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,173,173,244,1,J, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,174,174,315,1,X, , , , ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,175,175,160,1,D, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,176,176,193,1,S, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,177,177,280,1,L, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,178,178,146,1,W, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,179,179,134,1,J, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,180,180,41,1,Y, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,181,181,239,1,X, , , , ,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,182,182,291,1,X, , , , ,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,183,183,243,1,X, , , , ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,184,184,53,1,G, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,185,185,46,1,X, , , , ,,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,186,186,91,1,L, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,187,187,228,1,Y, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,188,188,109,1,U, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,189,189,17,1,F, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,190,190,289,1,Q, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,191,191,124,1,P, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,192,192,245,1,K, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,193,193,67,1,Q, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,194,194,0,1,Q, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,195,195,47,1,P, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,196,196,216,1,R, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,197,197,229,1,X,8, ,2,6,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,198,198,313,1,X, , , , ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,199,199,213,1,X, , , , ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,200,200,308,1,G, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,201,201,139,1,V, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,202,202,247,1,Z, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,203,203,299,1,X, , , , ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,204,204,75,1,U, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,205,205,183,1,R, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
